Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Wins
0.0,3.0,4.0,6.0,2.0,14.0,14.0,27.0,27.0,3.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,40.0,24.0
14.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,0.0,0.0,23.0
12.0,13.0,15.0,5.0,5.0,14.0,13.0,9.0,7.0,7.0,23.0
0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,36.0,36.0,23.0
3.0,3.0,3.0,17.0,3.0,3.0,18.0,23.0,24.0,3.0,22.0
3.0,6.0,6.0,6.0,13.0,16.0,21.0,27.0,1.0,1.0,22.0
2.0,2.0,2.0,2.0,2.0,5.0,12.0,21.0,21.0,31.0,22.0
11.0,11.0,4.0,4.0,11.0,12.0,13.0,14.0,10.0,10.0,21.0
1.0,2.0,3.0,4.0,10.0,15.0,15.0,20.0,20.0,10.0,20.0
0.0,0.0,3.0,2.0,6.0,9.0,20.0,21.0,35.0,4.0,20.0
5.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,27.0,37.0,19.0
0.0,0.0,0.0,0.0,12.0,16.0,26.0,0.0,0.0,46.0,19.0
0.0,0.0,1.0,1.0,1.0,12.0,25.0,27.0,33.0,0.0,19.0
2.0,2.0,10.0,11.0,2.0,21.0,21.0,17.0,13.0,1.0,19.0
0.0,2.0,5.0,6.0,8.0,12.0,12.0,15.0,15.0,25.0,18.0
1.0,1.0,2.0,3.0,6.0,10.0,21.0,23.0,2.0,31.0,18.0
1.0,1.0,1.0,1.0,11.0,16.0,21.0,21.0,26.0,1.0,17.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,28.0,16.0
0.0,0.0,0.0,8.0,1.0,1.0,15.0,20.0,25.0,30.0,16.0
20.0,10.0,20.0,0.0,20.0,10.0,0.0,5.0,10.0,5.0,15.0
0.0,14.0,1.0,1.0,20.0,20.0,22.0,22.0,0.0,0.0,15.0
20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,21.0,16.0,14.0
0.0,0.0,0.0,0.0,19.0,21.0,0.0,29.0,31.0,0.0,13.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,69.0,0.0,13.0
2.0,4.0,7.0,11.0,11.0,1.0,26.0,34.0,2.0,2.0,13.0
9.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,12.0
12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0
10.0,10.0,10.0,10.0,21.0,10.0,11.0,8.0,9.0,1.0,11.0
3.0,3.0,3.0,5.0,5.0,5.0,5.0,31.0,35.0,5.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0
1.0,1.0,1.0,1.0,11.0,11.0,13.0,32.0,16.0,13.0,7.0
1.0,1.0,32.0,30.0,30.0,2.0,2.0,2.0,0.0,0.0,3.0
,,,,,,,,,,2.0
0.0,0.0,0.0,15.0,1.0,1.0,22.0,27.0,34.0,0.0,0.0
