index,Timestamp,Name,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Wins
27,4/10/2024 19:38:35,sid,2,4,7,11,11,1,26,34,2,2,25
35,4/11/2024 22:28:28,shree,0,0,0,15,1,1,22,27,34,0,24
26,4/10/2024 19:38:03,albert,0,3,4,6,2,14,14,27,27,3,24
20,4/10/2024 16:40:44,eddieqiao,3,3,3,17,3,3,18,23,24,3,23
3,4/9/2024 23:05:24,stephen,3,6,6,6,13,16,21,27,1,1,23
6,4/10/2024 10:44:07,michaelhuang,0,0,0,12,16,0,0,0,36,36,23
33,4/10/2024 19:58:14,richard,0,0,0,0,19,21,0,29,31,0,22
12,4/10/2024 12:12:23,justin,2,1,1,1,19,19,19,3,1,36,22
21,4/10/2024 16:41:13,raymondpan,0,0,0,0,12,16,26,0,0,46,22
10,4/10/2024 11:52:38,jerry,0,0,3,2,6,9,20,21,35,4,21
